Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
374,Jaylen Nowell,SG,24,TOT,11,1,195,8.1,18.2,.444,1.5,6.8,.222,6.6,11.4,.578,1.3,1.8,.714,1.5,3.8,5.3,4.6,1.0,0.5,1.5,3.8,19.0,,106,121
375,Markquis Nowell,SG,24,TOR,1,0,4,0.0,12.3,.000,0.0,0.0,,0.0,12.3,.000,24.5,24.5,1.000,24.5,0.0,24.5,24.5,12.3,0.0,0.0,0.0,24.5,,169,102
376,Frank Ntilikina,PG,25,CHO,5,0,43,1.2,10.4,.111,1.2,9.2,.125,0.0,1.2,.000,2.3,2.3,1.000,1.2,5.8,6.9,4.6,0.0,0.0,1.2,4.6,5.8,,75,125
377,Jusuf Nurkić,C,29,PHO,72,72,1965,7.8,15.3,.510,0.6,2.2,.247,7.2,13.0,.555,4.0,6.3,.635,5.4,14.4,19.8,6.9,1.8,1.9,4.1,6.0,20.1,,114,109
378,Jordan Nwora,SF,25,TOT,48,1,650,9.3,20.4,.454,2.8,9.0,.317,6.4,11.4,.562,3.1,3.7,.857,1.7,8.0,9.7,4.3,1.9,0.7,3.6,3.4,24.5,,105,119
379,Royce O'Neale,SF,30,TOT,74,13,1830,5.5,13.7,.400,4.0,10.7,.375,1.5,3.0,.491,0.6,0.8,.677,1.5,8.0,9.6,5.5,1.4,1.1,1.9,4.4,15.6,,115,116
380,Chuma Okeke,SF,25,ORL,43,8,421,4.6,12.9,.358,2.7,9.5,.288,1.9,3.4,.552,0.5,0.8,.571,2.1,7.1,9.2,2.3,1.1,0.8,1.8,2.3,12.4,,98,114
381,Josh Okogie,SG,25,PHO,57,11,953,4.3,10.5,.414,1.4,4.8,.301,2.9,5.7,.509,3.9,5.3,.745,3.8,4.1,7.8,3.3,2.4,1.2,1.9,3.5,14.0,,119,116
382,Onyeka Okongwu,C,23,ATL,55,8,1405,7.7,12.6,.611,0.8,2.4,.333,6.9,10.2,.676,3.2,4.0,.793,5.0,8.0,13.0,2.6,0.9,2.1,1.6,5.6,19.4,,139,120
383,Isaac Okoro,SF,23,CLE,65,41,1781,6.3,13.0,.486,2.3,5.8,.388,4.1,7.2,.565,2.3,3.4,.680,1.8,3.7,5.5,3.6,1.6,0.9,1.5,3.8,17.3,,120,117
