PLAYER	,TEAM	,GP,W,L,MIN	,PTS	,TOUCHES	,FRONT CT TOUCHES	,TIME OF POSS	,AVG SEC PER TOUCH	,AVG DRIB PER TOUCH	,PTS PER TOUCH	,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH	,PTS PER POST TOUCH	,PTS PER PAINT TOUCH
Jalen Wilson,BKN,41,14,27,14.9,5.0,15.7,10.5,0.5,2.08,1.27,0.319,0.3,0.0,1.2,0.833,0.000,0.837
Jamal Cain,MIA,26,14,12,10.0,3.7,11.3,6.0,0.4,2.00,1.14,0.331,0.2,0.0,0.9,0.400,0.000,0.917
Jamal Murray,DEN,57,42,15,31.4,20.7,69.5,31.6,5.9,5.12,4.71,0.298,1.1,0.9,1.3,0.817,0.620,0.961
Jamaree Bouyea,SAS,9,2,7,10.5,2.3,23.0,8.7,1.8,4.68,4.22,0.101,0.0,0.0,0.2,0.000,0.000,1.000
James Bouknight,CHA,14,0,14,5.8,3.6,10.7,6.1,0.6,3.18,2.43,0.333,0.1,0.0,0.1,0.000,0.000,1.000
James Harden,LAC,71,45,26,34.3,16.6,75.6,26.7,6.8,5.39,4.80,0.220,0.8,0.1,0.5,0.107,0.000,0.545
James Johnson,IND,9,4,5,5.2,0.9,8.7,4.6,0.4,2.92,2.28,0.103,0.3,0.0,0.2,0.667,0.000,0.000
James Wiseman,DET,62,9,53,17.1,6.9,29.0,13.4,0.7,1.49,0.41,0.239,1.9,0.8,5.0,0.509,0.694,1.075
Jarace Walker,IND,33,18,15,10.3,3.6,16.6,9.7,0.6,2.02,1.30,0.219,0.3,0.0,0.6,0.100,0.000,0.500
Jared Butler,WAS,40,6,34,14.1,6.3,28.6,10.2,2.4,5.12,4.88,0.219,0.2,0.0,0.3,0.875,0.000,0.400
Jared Rhoden,DET,17,2,15,14.4,4.9,17.9,9.6,0.7,2.20,1.42,0.272,0.1,0.0,0.4,2.000,0.000,1.429
Jaren Jackson Jr.,MEM,66,22,44,32.2,22.5,54.8,33.4,2.7,2.91,2.15,0.411,1.8,3.0,2.3,0.793,0.651,0.914
Jarred Vanderbilt,LAL,28,13,15,20.2,5.3,17.7,8.1,0.5,1.70,1.02,0.298,1.1,0.0,3.1,0.516,0.000,0.693
Jarrett Allen,CLE,77,46,31,31.7,16.5,50.0,33.8,1.3,1.62,0.40,0.330,6.1,0.7,10.6,0.666,0.481,0.996
Jason Preston,UTA,7,2,5,10.2,1.7,23.0,7.9,1.5,3.97,3.16,0.075,0.0,0.0,1.0,0.000,0.000,0.857
Javon Freeman-Liberty,TOR,21,3,18,18.3,7.0,38.6,14.3,2.5,3.94,3.56,0.181,0.5,0.0,1.4,1.273,0.000,1.000
Javonte Green,CHI,9,5,4,25.6,12.2,38.9,16.8,0.8,1.20,0.43,0.314,0.3,0.0,3.2,1.333,0.000,1.172
Javonte Smart,PHI,1,1,0,0.7,0.0,1.0,0.0,0.4,24.84,21.00,0.000,0.0,0.0,0.0,0.000,0.000,0.000
Jaxson Hayes,LAL,69,40,29,12.5,4.3,16.1,7.7,0.4,1.38,0.44,0.269,1.0,0.0,2.8,0.681,0.000,0.984
Jay Huff,DEN,19,15,4,2.5,1.1,3.8,2.7,0.1,1.93,0.63,0.292,0.3,0.0,0.2,0.000,0.000,1.000
Jaylen Brown,BOS,69,51,18,33.5,22.9,53.0,27.5,3.6,4.08,3.55,0.433,1.0,1.9,2.2,0.761,0.641,0.961
Jaylen Nowell,DET,13,3,10,16.4,6.2,25.2,12.4,1.7,4.01,3.80,0.247,0.1,0.0,0.3,0.000,0.000,1.000
Jaylin Williams,OKC,69,48,21,13.0,4.0,27.1,14.7,0.6,1.42,0.30,0.148,1.3,0.0,1.3,0.333,0.000,0.587
Jayson Tatum,BOS,73,56,17,35.7,26.8,75.8,38.7,4.8,3.83,2.76,0.354,1.2,1.8,1.6,0.929,0.773,1.095
