PLAYER	,TEAM	,GP,W,L,MIN	,PTS	,TOUCHES	,FRONT CT TOUCHES	,TIME OF POSS	,AVG SEC PER TOUCH	,AVG DRIB PER TOUCH	,PTS PER TOUCH	,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH	,PTS PER POST TOUCH	,PTS PER PAINT TOUCH
T.J. Warren,MIN,11,7,4,11.3,3.7,12.6,8.5,0.4,2.03,1.30,0.295,0.3,0.0,0.5,1.333,0.000,1.167
Taj Gibson,DET,20,8,12,10.2,1.7,9.9,5.1,0.2,1.37,0.51,0.173,0.8,0.2,1.3,0.667,0.500,0.385
Talen Horton-Tucker,UTA,50,14,36,20.0,10.3,45.8,19.0,3.6,4.74,4.20,0.224,0.1,0.2,0.5,1.200,0.500,0.522
Tari Eason,HOU,22,12,10,21.8,9.8,31.7,14.0,1.1,2.04,1.33,0.308,0.5,0.2,3.2,0.833,0.000,0.771
Taurean Prince,LAL,77,43,34,27.1,8.9,25.3,15.4,0.8,1.93,1.06,0.350,0.4,0.0,0.6,0.500,0.000,0.694
Taylor Hendricks,UTA,40,13,27,21.4,7.3,21.6,11.7,0.5,1.51,0.70,0.339,0.3,0.1,1.2,0.167,1.000,1.021
Taze Moore,POR,4,1,3,10.1,4.5,19.0,10.0,0.8,2.38,1.59,0.237,0.5,0.0,1.3,0.000,0.000,0.400
Terance Mann,LAC,74,46,28,25.0,8.8,29.2,15.8,1.3,2.60,1.92,0.301,0.7,0.1,2.4,0.577,0.667,0.850
Terquavion Smith,PHI,15,7,8,5.2,3.4,10.9,4.0,0.7,3.75,3.32,0.313,0.0,0.0,0.0,0.000,0.000,0.000
Terry Rozier,MIA,61,22,39,33.4,19.8,75.1,32.9,5.9,4.68,4.29,0.263,0.4,0.0,0.7,0.773,0.000,0.524
Terry Taylor,CHI,30,12,18,6.2,1.5,6.5,4.0,0.2,1.39,0.67,0.235,0.4,0.0,0.8,0.364,0.000,1.042
Thaddeus Young,PHX,33,12,21,13.3,4.2,24.0,14.1,0.7,1.76,0.68,0.173,1.9,0.3,3.1,0.444,0.222,0.743
Thanasis Antetokounmpo,MIL,34,21,13,4.6,0.9,4.9,3.3,0.2,2.23,1.63,0.190,0.1,0.1,0.7,0.400,0.667,0.522
Theo Maledon,PHX,17,5,12,12.5,3.5,24.4,11.6,1.3,3.16,2.73,0.142,0.2,0.0,0.2,0.000,0.000,1.000
Thomas Bryant,MIA,38,22,16,11.6,5.7,17.3,9.6,0.5,1.83,0.49,0.330,1.4,0.5,3.2,0.615,0.526,1.172
Tim Hardaway Jr.,DAL,78,48,30,27.0,14.4,39.0,21.0,1.5,2.36,1.65,0.369,0.2,0.0,0.3,0.706,0.000,1.231
Timmy Allen,MEM,5,0,5,25.1,2.6,27.0,12.6,0.9,1.90,1.29,0.096,0.4,0.0,0.0,0.000,0.000,0.000
Tobias Harris,PHI,69,40,29,33.9,17.1,53.8,29.6,2.9,3.20,2.35,0.319,1.0,2.1,2.9,0.750,0.676,1.010
Torrey Craig,CHI,52,22,30,19.9,5.7,27.7,13.8,0.8,1.65,0.74,0.206,0.3,0.0,1.6,0.625,0.000,0.610
Tosan Evbuomwan,DET,17,1,16,21.6,5.9,19.7,12.8,0.6,1.74,1.05,0.301,0.9,0.1,1.8,0.400,0.000,0.300
Toumani Camara,POR,69,18,51,24.7,7.4,31.0,16.7,0.9,1.75,0.98,0.239,0.6,0.1,2.5,0.214,0.000,0.869
Trae Young,ATL,54,22,32,36.0,25.7,85.5,27.6,8.3,5.82,5.39,0.301,0.2,0.0,0.4,0.500,0.000,0.316
Trayce Jackson-Davis,GSW,67,39,28,16.5,7.9,27.3,16.8,0.7,1.56,0.57,0.289,1.8,0.5,5.2,0.775,0.406,0.923
Tre Jones,SAS,76,20,56,27.7,10.1,63.0,19.0,5.0,4.72,4.41,0.160,0.6,0.0,1.0,0.773,0.000,1.092
Tre Mann,CHA,41,21,20,24.1,9.3,44.1,16.7,3.7,4.99,4.74,0.211,0.2,0.0,0.4,0.333,0.000,0.353
Trendon Watford,BKN,61,25,36,13.2,6.8,27.9,11.9,1.6,3.37,2.83,0.242,0.4,0.3,1.0,0.600,0.611,0.937
Trent Forrest,ATL,38,18,20,10.9,2.2,22.7,7.7,2.1,5.53,4.93,0.096,0.2,0.0,0.4,0.000,0.000,0.267
Trevelin Queen,ORL,14,5,9,11.8,2.9,12.5,7.3,0.6,3.10,2.80,0.229,0.0,0.0,0.6,0.000,0.000,1.000
Trey Jemison,MEM,25,5,20,23.0,6.8,27.8,18.6,0.8,1.74,0.76,0.246,2.6,1.2,6.0,0.438,0.414,0.846
Trey Lyles,SAC,58,33,25,20.0,7.2,29.4,16.2,0.7,1.50,0.57,0.246,0.5,0.3,1.6,0.556,0.556,0.871
Trey Murphy III,NOP,56,35,21,29.8,14.8,41.3,26.2,1.4,2.01,1.25,0.358,0.4,0.0,1.1,0.667,0.000,0.967
Tristan Thompson,CLE,49,28,21,11.2,3.3,15.8,10.4,0.5,1.89,0.68,0.207,1.2,0.1,2.9,0.492,0.571,0.727
Tristan Vukcevic,WAS,10,3,7,15.3,8.5,23.0,14.1,0.6,1.61,0.74,0.370,1.9,0.2,1.7,1.211,0.000,1.235
Troy Brown Jr.,DET,58,30,28,14.2,4.3,16.7,9.8,0.6,2.23,1.67,0.255,0.1,0.0,0.4,0.286,0.000,0.583
Ty Jerome,CLE,2,1,1,7.4,2.0,15.5,6.5,1.3,4.91,4.42,0.129,0.0,0.0,0.0,0.000,0.000,0.000
TyTy Washington Jr.,MIL,11,5,6,5.1,1.3,11.9,5.3,0.9,4.30,4.17,0.107,0.0,0.0,0.1,0.000,0.000,0.000
Tyler Herro,MIA,42,23,19,33.5,20.8,65.1,33.7,4.1,3.78,3.26,0.320,0.4,0.0,0.6,0.222,0.000,0.593
Tyrese Haliburton,IND,69,40,29,32.2,20.1,90.9,30.5,6.5,4.31,3.91,0.222,0.3,0.0,0.4,0.455,3.000,0.621
Tyrese Maxey,PHI,69,42,27,37.6,25.9,87.4,35.5,7.4,5.06,4.60,0.297,0.2,0.0,0.4,1.000,0.000,0.966
Tyus Jones,WAS,66,11,55,29.3,12.0,68.2,26.7,4.8,4.20,3.74,0.176,0.3,0.0,0.3,0.600,0.000,0.826
Udoka Azubuike,PHX,16,12,4,7.1,2.2,6.4,3.8,0.2,1.67,0.41,0.340,0.6,0.1,1.8,0.111,1.000,0.964
Usman Garuba,GSW,6,5,1,3.0,0.5,7.7,4.3,0.2,1.64,0.76,0.065,0.2,0.3,1.0,0.000,0.000,0.500
Vasilije Micic,CHA,59,33,26,19.4,6.9,38.4,16.4,3.1,4.89,4.73,0.181,0.1,0.0,0.3,0.000,0.000,0.611
Victor Wembanyama,SAS,71,19,52,29.7,21.4,59.2,39.3,2.3,2.34,1.35,0.362,4.3,4.3,8.8,0.629,0.456,0.907
Vince Williams Jr.,MEM,52,18,34,27.6,10.0,45.9,24.3,2.5,3.26,2.44,0.218,0.4,0.1,1.8,0.524,0.333,0.787
Vit Krejci,ATL,22,9,13,24.6,6.1,28.8,17.0,1.0,2.11,1.31,0.213,0.1,0.0,0.5,0.667,0.000,0.583
Walker Kessler,UTA,63,26,37,23.3,8.1,32.1,16.3,0.7,1.33,0.25,0.253,1.0,0.2,6.8,0.531,0.538,0.995
Wendell Carter Jr.,ORL,55,30,25,25.6,11.0,37.3,23.4,1.0,1.59,0.51,0.294,2.5,0.6,5.7,0.413,0.581,0.833
Wendell Moore Jr.,MIN,25,18,7,3.0,0.7,4.5,1.8,0.2,3.30,2.74,0.161,0.0,0.0,0.1,2.000,0.000,1.000
Wenyen Gabriel,MEM,5,1,4,16.2,3.4,20.8,11.0,0.5,1.55,0.67,0.163,0.6,0.2,3.0,0.000,0.000,0.667
Wesley Matthews,ATL,36,11,25,11.5,3.1,14.3,7.6,0.3,1.42,0.64,0.214,0.0,0.0,0.5,0.000,0.000,0.412
Xavier Moon,LAC,14,7,7,8.5,2.4,19.6,7.1,1.3,4.11,3.65,0.120,0.2,0.0,0.2,0.000,0.000,0.000
Xavier Tillman,BOS,54,30,24,18.0,5.3,27.6,15.5,0.8,1.67,0.72,0.191,2.9,0.5,3.4,0.344,0.480,0.541
Yuta Watanabe,MEM,34,18,16,13.7,3.4,14.9,8.6,0.4,1.64,1.02,0.231,0.1,0.0,0.4,0.400,0.000,0.308
Zach Collins,SAS,68,18,50,22.1,11.3,39.8,27.2,1.2,1.79,0.70,0.284,4.0,1.9,4.7,0.509,0.687,0.783
Zach LaVine,CHI,25,10,15,34.9,19.5,63.0,28.7,4.1,3.91,3.38,0.309,0.6,0.1,0.6,0.786,0.000,0.750
Zavier Simpson,MEM,7,1,6,23.1,6.0,48.9,19.6,4.3,5.32,5.47,0.123,0.3,0.0,0.4,1.000,0.000,0.000
Zeke Nnaji,DEN,56,39,17,9.9,3.3,11.2,7.9,0.3,1.58,0.54,0.291,0.9,0.2,2.3,0.500,0.900,0.832
Ziaire Williams,MEM,51,20,31,20.3,8.2,27.4,16.4,1.3,2.87,2.22,0.301,0.5,0.0,1.3,0.565,0.000,1.235
Zion Williamson,NOP,69,42,27,31.6,23.0,62.9,35.3,3.9,3.71,3.20,0.366,2.9,2.8,3.8,0.688,0.515,1.192
