Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
170,Harry Giles,C,25,TOT,22,98,14.8,.503,.280,.260,13.5,19.2,16.3,10.6,1.0,2.8,9.7,27.4,,-0.1,0.1,0.0,.020,,-2.8,-2.1,-4.9,-0.1
171,Shai Gilgeous-Alexander,PG,25,OKC,71,2444,29.4,.638,.178,.431,3.1,15.4,9.5,30.1,3.0,2.4,8.5,32.9,,9.8,3.8,13.6,.268,,6.7,2.3,9.0,6.8
172,Anthony Gill,PF,31,WAS,47,397,11.5,.539,.241,.233,9.2,13.7,11.4,9.3,1.4,1.6,13.6,18.1,,0.0,0.2,0.2,.023,,-3.1,-1.4,-4.5,-0.3
173,Collin Gillespie,PG,24,DEN,24,225,11.0,.586,.551,.174,0.5,10.5,5.6,15.6,2.9,0.0,15.9,17.3,,0.1,0.3,0.3,.070,,-3.7,0.9,-2.8,0.0
174,Jacob Gilyard,PG,25,TOT,39,669,11.3,.589,.836,.014,1.3,6.3,3.7,28.2,2.1,0.7,16.5,11.4,,0.8,0.5,1.3,.097,,-1.7,0.3,-1.4,0.1
175,Rudy Gobert,C,31,MIN,71,2410,18.7,.667,.005,.631,13.6,30.6,22.6,5.5,0.9,5.5,13.2,15.4,,4.8,5.6,10.4,.207,,-0.2,1.7,1.6,2.2
176,Jordan Goodwin,PG,25,TOT,54,945,12.5,.464,.384,.148,8.7,16.9,12.8,21.6,2.1,1.7,12.9,18.6,,-0.1,1.2,1.1,.056,,-1.5,0.6,-0.9,0.3
177,Aaron Gordon,PF,28,DEN,70,2214,16.6,.604,.192,.372,9.4,15.4,12.4,14.7,1.2,1.7,11.2,18.2,,4.1,2.3,6.4,.138,,1.0,0.1,1.1,1.8
178,Eric Gordon,SG,35,PHO,64,1805,10.9,.584,.637,.107,1.1,6.4,3.9,10.1,1.6,1.4,10.3,16.6,,0.9,1.5,2.4,.064,,-1.2,-0.6,-1.8,0.1
179,Devonte' Graham,PG,28,SAS,18,186,13.8,.544,.769,.200,1.8,13.6,7.6,22.7,2.3,0.4,7.8,17.5,,0.2,0.2,0.4,.096,,-1.3,0.4,-0.9,0.1
180,Jerami Grant,PF,29,POR,54,1830,15.3,.573,.325,.367,2.2,10.4,6.1,13.7,1.2,1.7,10.5,25.8,,1.4,1.1,2.6,.068,,0.9,-1.1,-0.2,0.8
181,A.J. Green,SG,24,MIL,53,567,11.1,.622,.866,.091,1.9,10.8,6.5,7.0,0.6,0.6,5.4,15.7,,0.8,0.3,1.1,.089,,0.0,-1.8,-1.8,0.0
182,Danny Green,SG,36,PHI,2,18,0.9,.000,.500,.000,0.0,13.0,6.4,6.5,2.8,0.0,0.0,4.8,,0.0,0.0,0.0,-0.037,,-7.4,0.7,-6.7,0.0
183,Draymond Green,PF,33,GSW,52,1401,14.6,.582,.332,.199,6.2,25.0,15.7,28.4,1.8,2.8,24.4,15.7,,1.2,1.9,3.1,.107,,-0.6,3.0,2.4,1.5
184,Jalen Green,SG,21,HOU,77,2451,15.1,.544,.448,.272,1.8,16.3,9.0,17.4,1.3,1.0,11.2,27.6,,0.2,2.9,3.0,.060,,0.6,-0.7,-0.1,1.2
185,Javonte Green,SF,30,CHI,4,84,21.6,.747,.280,.160,10.9,22.7,16.6,5.4,2.4,3.7,13.0,16.2,,0.2,0.1,0.3,.193,,3.6,2.0,5.6,0.2
186,Jeff Green,PF,37,HOU,73,1222,11.1,.595,.420,.432,3.8,11.2,7.4,7.0,0.5,2.3,10.0,15.3,,1.2,1.1,2.4,.093,,-1.7,-0.3,-2.1,0.0
187,Josh Green,SG,23,DAL,54,1436,10.3,.604,.499,.155,3.0,10.7,6.9,11.2,1.5,0.6,13.1,13.1,,1.1,1.1,2.3,.076,,-2.0,-0.3,-2.3,-0.1
188,AJ Griffin,SF,20,ATL,18,132,1.9,.403,.733,.044,1.7,10.8,6.1,3.8,0.4,0.7,11.6,16.5,,-0.3,0.0,-0.3,-0.098,,-5.4,-3.3,-8.7,-0.2
189,Quentin Grimes,SG,23,TOT,51,1025,8.9,.516,.732,.137,1.7,9.9,5.8,8.7,1.7,0.6,7.5,15.9,,0.3,0.9,1.3,.060,,-2.6,0.4,-2.2,-0.1
190,Mouhamadou Gueye,PF,25,TOR,10,97,4.8,.333,.097,.258,12.9,9.8,11.4,5.3,1.0,13.5,25.8,20.6,,-0.5,0.1,-0.3,-0.172,,-10.8,-1.6,-12.3,-0.3
191,Mouhamed Gueye,PF,21,ATL,3,8,-15.4,.000,.750,.000,13.8,0.0,7.2,0.0,6.1,0.0,20.0,26.2,,-0.1,0.0,-0.1,-0.540,,-20.2,-7.3,-27.5,-0.1
192,Rui Hachimura,PF,25,LAL,64,1695,14.7,.627,.342,.199,3.7,14.1,9.2,6.1,1.1,1.2,6.1,18.5,,2.2,1.3,3.5,.100,,-0.4,-0.9,-1.2,0.3
193,Ashton Hagans,PG,24,POR,18,302,8.0,.503,.328,.254,4.7,12.3,8.3,22.8,1.6,2.7,28.0,14.7,,-0.3,0.3,0.0,-0.002,,-4.7,0.7,-4.0,-0.1
194,Tyrese Haliburton,PG,23,IND,65,2099,23.3,.603,.507,.209,2.0,12.3,7.1,45.6,1.7,1.7,11.9,24.8,,6.9,1.4,8.4,.191,,7.4,-0.4,7.0,4.8
195,R.J. Hampton,PG,22,MIA,8,76,0.9,.336,.571,.143,3.1,6.4,4.7,13.6,0.0,0.0,16.8,10.5,,-0.1,0.0,-0.1,-0.042,,-8.1,-1.4,-9.5,-0.1
196,Tim Hardaway Jr.,SF,31,DAL,74,2026,12.3,.546,.609,.178,1.2,12.5,6.9,9.1,0.9,0.3,6.1,22.9,,0.8,1.3,2.1,.050,,-0.6,-2.1,-2.7,-0.4
197,James Harden,PG,34,LAC,70,2433,18.5,.611,.592,.415,1.8,15.7,9.0,33.6,1.6,2.1,16.0,20.7,,5.7,2.3,8.0,.158,,3.8,0.3,4.0,3.7
198,Jaden Hardy,SG,21,DAL,68,910,11.5,.518,.482,.144,2.1,12.3,7.3,15.8,1.0,0.4,9.7,24.8,,-0.3,0.6,0.3,.016,,-1.7,-2.3,-4.0,-0.5
